ano;provincia;seccion_agrarica_comarcal;numero_de_contratos_en_vigor
2021;ÁVILA;Arenas de San Pedro;5
2021;ÁVILA;Arévalo;12
2021;ÁVILA;Ávila;23
2021;ÁVILA;Cebreros;0
2021;ÁVILA;El Barco de Ávila;2
2021;BURGOS;Aranda de Duero;80
2021;BURGOS;Belorado;1
2021;BURGOS;Briviesca;5
2021;BURGOS;Burgos;13
2021;BURGOS;Lerma;9
2021;BURGOS;Miranda de Ebro;1
2021;BURGOS;Salas de los Infantes;1
2021;BURGOS;Villadiego;14
2021;BURGOS;Villarcayo;10
2021;LEÓN;Astorga;2
2021;LEÓN;Cistierna;0
2021;LEÓN;La Bañeza;13
2021;LEÓN;León;13
2021;LEÓN;Pola de Gordón;2
2021;LEÓN;Ponferrada;22
2021;LEÓN;Sahagún;13
2021;LEÓN;Valencia de Don Juan;7
2021;LEÓN;Villablino;3
2021;PALENCIA;Baltanás;2
2021;PALENCIA;Cervera de Pisuerga;8
2021;PALENCIA;Palencia;22
2021;PALENCIA;Saldaña;14
2021;SALAMANCA;Alba de Tormes;5
2021;SALAMANCA;Béjar;7
2021;SALAMANCA;Ciudad Rodrigo;1
2021;SALAMANCA;Fuente de San Esteban;1
2021;SALAMANCA;Peñaranda de Bracamonte;6
2021;SALAMANCA;Salamanca;19
2021;SALAMANCA;Vitigudino;22
2021;SEGOVIA;Cuéllar;21
2021;SEGOVIA;Riaza;1
2021;SEGOVIA;Segovia;16
2021;SEGOVIA;Sepúlveda;5
2021;SEGOVIA;Sta. María de Nieva;34
2021;SORIA;Ágreda;3
2021;SORIA;Almazán;23
2021;SORIA;Burgo de Osma;15
2021;SORIA;San Leonardo de Yagüe;0
2021;SORIA;Soria;12
2021;VALLADOLID;Medina de Rioseco;38
2021;VALLADOLID;Medina del Campo;111
2021;VALLADOLID;Peñafiel;41
2021;VALLADOLID;Valladolid;82
2021;ZAMORA;Alcañices;2
2021;ZAMORA;Benavente;53
2021;ZAMORA;Puebla de Sanabria;0
2021;ZAMORA;Toro;121
2021;ZAMORA;Zamora;86
