ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CONSER;NOM_CONSER;COD_GRADO;DESC_GRADO;CURSO;INSTRUMENTO;MATRICULADOS
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;ARPA;3
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;CLARINETE;4
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;CLAVE;2
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;FAGOT;4
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;FLAUTA TRAVESERA;1
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;GUITARRA;3
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;OBOE;4
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;PIANO;10
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;TROMBÓN;1
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;TROMPA;4
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;TROMPETA;3
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;VIOLA;7
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;VIOLONCELLO;3
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;1º ENSEÑANZA ELEMENTAL MÚSICA;VIOLÍN;5
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;ARPA;1
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;CLARINETE;4
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;CONTRABAJO;3
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;FAGOT;5
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;FLAUTA TRAVESERA;5
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;GUITARRA;8
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;OBOE;3
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;PERCUSIÓN;2
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;PIANO;21
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;SAXOFÓN;6
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;TROMBÓN;2
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;TROMPETA;1
2019-2020;03;ALICANTE/ALACANT;03014;ALACANT/ALICANTE;03014678;CONSERVATORI PROFESSIONAL DE MÚSICA GUITARRISTA J.TOMÁS;E;ENSEÑANZA ELEMENTAL MÚSICA;2º ENSEÑANZA ELEMENTAL MÚSICA;TUBA;1
