codigo_mes;ano;mes;codigo_de_ca;comunidad_autonoma;codigo_provincia;provincia;codigo_municipio;municipio;paro_hombre_edad_25;paro_hombre_edad_25_45;paro_hombre_edad_45;paro_mujer_edad_25;paro_mujer_edad_25_45;paro_mujer_edad_45;paro_agricultura;paro_industria;paro_construccion;paro_servicios;paro_sin_empleo_anterior;total_paro
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12011;Almenara;28;152;107;36;111;49;31;37;71;332;12;483
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12012;Altura;34;153;72;29;110;54;23;57;106;233;33;452
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12014;Ares,del,Maestrat;1;4;2;1;1;1;2;1;2;5;0;10
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12017;Ayódar;2;6;5;2;6;5;6;3;3;13;1;26
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12018;Azuébar;3;7;9;0;7;5;5;8;6;12;0;31
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12020;Barracas;0;7;2;0;3;2;4;1;3;6;0;14
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12024;Benafer;2;7;9;1;6;6;8;2;6;15;0;31
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12033;Cabanes;12;82;62;16;87;29;20;56;51;140;21;288
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12039;Castellnovo;8;21;25;2;17;21;5;24;16;48;1;94
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12040;Castellón,de,la,Plana/Castelló,de,la,Plana;1205;6126;3933;917;5655;3156;451;3073;4167;11885;1416;20992
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12044;Cervera,del,Maestre;3;12;9;1;12;3;2;2;10;25;1;40
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12045;Cinctorres;1;8;6;1;4;6;5;1;6;14;0;26
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12046;Cirat;1;10;3;0;3;1;5;1;3;9;0;18
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12050;Coves,de,Vinromà,,les;5;61;29;6;45;18;20;39;46;48;11;164
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12051;Culla;0;5;5;4;4;1;1;2;3;11;2;19
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12056;Chóvar;5;5;4;2;9;3;0;3;4;19;2;28
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12057;Eslida;9;21;15;4;24;6;13;11;7;45;3;79
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12060;Figueroles;5;19;12;7;17;16;7;26;3;37;3;76
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12068;Herbés;1;2;0;0;0;0;0;0;0;3;0;3
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12070;Jana,,la;0;17;10;2;4;4;2;4;11;18;2;37
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12072;Lucena,del,Cid;7;37;33;4;37;13;2;57;20;47;5;131
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12074;Llosa,,la;8;28;17;10;28;4;24;8;9;53;1;95
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12076;Matet;0;4;9;0;1;4;0;5;0;13;0;18
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12077;Moncofa;29;157;90;19;146;53;57;49;82;299;7;494
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12079;Montanejos;1;11;3;2;11;7;3;4;2;26;0;35
